"$91,250 ",Santa Clara Elementary School District / 137
"$91,250 ",Name N/A / 137
"$91,250 ",Bitterwater-Tully Union Elementary School District / 89
"$90,992 ","Oak Grove Elementary School District / 108,014"
"$90,876 ","Coronado Unified School District / 25,123"
"$90,869 ","College Elementary School District / 5,872"
"$90,728 ","Rio Bravo-Greeley Union Elementary School District / 5,425"
"$90,625 ","Name N/A / 1,029"
"$90,625 ","Mupu Elementary School District / 1,029"
"$90,440 ","Dixie Elementary School District / 21,972"
"$90,244 ","Brentwood Union Elementary School District / 56,903"
"$89,417 ","Simi Valley Unified School District / 129,256"
"$89,305 ","Benicia Unified School District / 27,540"
"$89,099 ","Laguna Beach Unified School District / 28,582"
"$89,087 ","Bonny Doon Union Elementary School District / 2,994"
"$88,958 ","Los Olivos Elementary School District / 1,496"
"$88,582 ","William S. Hart Union High School District / 272,531"
"$88,561 ","Pleasant Valley Elementary School District / 74,799"
"$88,548 ","Waugh Elementary School District / 6,323"
"$88,162 ","Placentia-Yorba Linda Unified School District / 162,650"
"$88,097 ","Huntington Beach City Elementary School District / 85,081"
"$88,040 ","Acton-Agua Dulce Unified School District / 11,329"
"$87,925 ","Loomis Union Elementary School District / 22,475"
"$87,545 ","Mount Pleasant Elementary School District / 22,947"
"$87,470 ","Somis Union Elementary School District / 3,237"
"$87,218 ","Millbrae Elementary School District / 25,225"
"$87,172 ","Carmel Unified School District / 22,836"
"$87,046 ","Campbell Union High School District / 226,780"
"$86,922 ","Beverly Hills Unified School District / 34,601"
"$86,811 ","Fountain Valley Elementary School District / 53,593"
"$86,717 ","Cambrian Elementary School District / 30,026"
"$86,521 ","Newark Unified School District / 43,635"
"$86,513 ","La Honda-Pescadero Unified School District / 3,678"
"$86,500 ","Richmond Elementary School District / 1,024"
"$85,805 ","Old Adobe Union Elementary School District / 25,545"
"$85,625 ","Travis Unified School District / 31,816"
"$85,602 ","Liberty Union High School District / 110,305"
"$85,382 ","Saddleback Valley Unified School District / 208,325"
"$85,313 ",Sunol Glen Unified School District / 989
"$85,110 ","Moreland Elementary School District / 49,281"
"$84,975 ","Sausalito Elementary School District / 10,913"
"$84,688 ","North Cow Creek Elementary School District / 1,514"
"$84,583 ",Gratton Elementary School District / 574
"$84,536 ","Plumas Elementary School District / 4,183"
"$84,004 ","El Segundo Unified School District / 16,839"
"$83,878 ","San Jose Unified School District / 263,681"
"$83,775 ","Cypress Elementary School District / 44,224"
"$83,644 ","Newhall Elementary School District / 74,701"
"$83,507 ","Newport-Mesa Unified School District / 198,500"
"$83,246 ","Corona-Norco Unified School District / 266,438"
"$82,708 ","Lagunitas Elementary School District / 4,154"
"$82,629 ","Gilroy Unified School District / 60,101"
"$82,605 ","Alta Loma Elementary School District / 56,136"
"$82,524 ","Tustin Unified School District / 137,595"
"$82,507 ","Temecula Valley Unified School District / 147,264"
"$82,380 ","San Bruno Park Elementary School District / 37,134"
"$82,245 ","Campbell Union Elementary School District / 98,544"
"$82,232 ","Pioneer Union Elementary School District / 11,450"
"$82,145 ","New Haven Unified School District / 76,111"
"$82,115 ","St. Helena Unified School District / 10,147"
"$82,086 ","Bonsall Union Elementary School District / 16,165"
"$82,084 ","Chino Valley Unified School District / 177,117"
"$82,083 ",Clay Joint Elementary School District / 519
"$81,956 ","Arcadia Unified School District / 58,214"
"$81,948 ","South San Francisco Unified School District / 80,631"
"$81,803 ","Dry Creek Joint Elementary School District / 53,224"
"$81,701 ","Westside Union Elementary School District / 69,226"
"$81,650 ","East Side Union High School District / 537,493"
"$81,614 ","Orange Unified School District / 221,154"
"$81,567 ","Brea-Olinda Unified School District / 35,795"
"$81,432 ","Wiseburn Elementary School District / 13,295"
"$80,940 ","San Rafael City High School District / 77,255"
"$80,524 ","Claremont Unified School District / 41,524"
"$80,492 ","Carlsbad Unified School District / 73,826"
"$80,479 ","South Pasadena Unified School District / 25,914"
"$80,470 ","Rocklin Unified School District / 58,954"
"$80,440 ","Redwood City Elementary School District / 97,537"
"$80,333 ","Santa Monica-Malibu Unified School District / 110,934"
"$80,103 ","Windsor Unified School District / 29,475"
"$80,008 ","Lowell Joint Elementary School District / 34,891"
"$79,949 ","Jefferson Union High School District / 147,284"
"$79,898 ","Kings River-Hardwick Union Elementary School District / 2,613"
"$79,820 ","Alpine Union Elementary School District / 19,010"
"$79,578 ","Roseville Joint Union High School District / 169,832"
"$79,439 ","Mountain View Elementary School District / 20,964"
"$79,337 ","Novato Unified School District / 60,309"
"$79,302 ","Culver City Unified School District / 39,615"
"$79,250 ",Willow Grove Union Elementary School District / 250
"$78,769 ","Albany City Unified School District / 19,020"
